datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-15-29,63.7,29.5,1248969.0,423763.0,279881.0,0.0,17798.0,616.0,26.0,1.043589,10.60369,39.83447,65.54002,54.70607,62.76017,65.54002
05-04-2026-00-15-30,63.6,29.5,1239864.0,420622.0,275789.0,0.0,17723.0,678.0,30.0,1.035981,10.52521,39.32863,66.17496,54.13762,63.00068,66.17496
05-04-2026-00-15-31,63.6,29.5,1232001.0,423257.0,279579.0,0.0,18966.0,797.0,31.0,1.029411,10.5781,39.7774,69.35167,55.6254,66.04459,69.35167
05-04-2026-00-15-32,63.6,29.5,1224565.0,426854.0,281303.0,0.0,19557.0,863.0,32.0,1.023198,10.65304,40.03237,71.04015,56.37359,67.65571,71.04015
05-04-2026-00-15-33,63.6,29.5,1220344.0,431498.0,282758.0,0.0,19871.0,868.0,30.0,1.019671,10.75428,40.28558,71.37096,56.88912,68.23719,71.37096
05-04-2026-00-15-34,63.7,29.5,1221713.0,438712.0,287397.0,0.0,20619.0,899.0,25.0,1.020815,10.91816,40.93394,72.52758,58.16299,69.9063,72.52758
05-04-2026-00-15-35,63.7,29.5,1231733.0,449921.0,294793.0,0.0,21579.0,926.0,20.0,1.029187,11.17941,41.96761,74.20832,59.99826,72.09579,74.20832
05-04-2026-00-15-36,63.6,29.5,1241859.0,459239.0,298440.0,0.0,21723.0,901.0,14.0,1.037648,11.39809,42.56723,73.98247,60.71878,72.493,73.98247
05-04-2026-00-15-37,63.6,29.5,1252218.0,468220.0,301428.0,0.0,21847.0,906.0,9.0,1.046304,11.60937,43.09059,74.22628,61.34553,73.19032,74.22628
05-04-2026-00-15-38,63.6,29.5,1260216.0,475261.0,301796.0,0.0,21635.0,939.0,10.0,1.052987,11.77489,43.29447,74.77968,61.37186,73.64788,74.77968
